Date	Time	 Region 	 Prefecture 	City	 RF Cluster	Group Center 	vCU	vDU	Zone	Site	Cell	Band	Site Status	Site Category	ECGI	ENBID	1002-Max UE Num	1011-Sector DL Throughput (Mbps)	1013-Radio Network Availability Rate (%)	3150-DL PRB Utilization	3644-CCE Utilization (%)	4095-ERAB Rel PDSCH Utilization	3645-CCE Utilization AGG1 (%)	3646-CCE Utilization AGG2 (%)	3647-CCE Utilization AGG4 (%)	3648-CCE Utilization AGG8 (%)	0004-DL PRB Utilization_Generic	1685-Test_FDDL.RprtNbr.CQI	1775-Test_FDDL.Cqi1Nbr.CW	1777-Test_FDDL.Cqi2Nbr.CW	1779-Test_FDDL.Cqi3Nbr.CW	1785-Test_FDDL.Cqi4Nbr.CW	3072-Average CQI	3138-Average CQI Nom	3139-Average CQI Denom	1191-Average DL User Throughput (Mbps)	1192-Average UL User Throughput (Mbps)	3140-Average DL User Throughput Nom	3141-Average DL User Throughput Denom (Seconds)	3142-Average UL User Throughput Nom (bits)	3143-Average UL User Throughput Denom (Seconds)	4316-Average User Data Volume	1020-DL Traffic Volume (GB)	1021-UL Traffic Volume (GB)	1027-Total Traffic Volume (GB)	1196-Traffic Volume VOLTE	1084-DL  Transport BLER %	3146-DL IBLER % Nom	3147-DL IBLER % Denom	1085-UL Transport Bler %	3148-UL IBLER % Nom	3149-UL IBLER Denom	1058-UL RSSI (dBm)	5297-DL Average MCS	4389-Average User Data Volume	1640-Test_FDUL.64QamDstrbtnNbr	1634-Test_FDUL.16QamDstrbtnNbr	1632-Test_FDUL.QpskDstrbtnNbr	3169-DL Qpsk Distribution	3171-DL 16QAM Distribution	3174-DL 64 QAM Distribution	3167-DL QPSK Distribution Nom	3170-DL 16Qam Distribution NOM	3173-DL 64 QAM Distribution NOM	3168-Modulation Distribution DNOM	1787-Test_FDDL.Cqi5Nbr.CW	1789-Test_FDDL.Cqi6Nbr.CW	1791-Test_FDDL.Cqi7Nbr.CW	1793-Test_FDDL.Cqi8Nbr.CW	1796-Test_FDDL.Cqi9Nbr.CW	1799-Test_FDDL.Cqi10Nbr.CW	1801-Test_FDDL.Cqi11Nbr.CW	1803-Test_FDDL.Cqi12Nbr.CW	1805-Test_FDDL.Cqi13Nbr.CW	1806-Test_FDDL.Cqi14Nbr.CW	1807-Test_FDDL.Cqi15Nbr.CW
11/06/2020	22:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	18	6.6379	100	27.825	13.4154	-	4.7457	55.1829	40.0713	0	27.825	0.2656	635	646	715	772	8.6471	147	17	6.8634	2.0646	7100632776	1034.559	272322840	131.9	0.0003	0.9054	0.05	0.9554	0	7.8197	99564	1273238	10.7405	35525	330758	-97.7201	13.5484	0.2292	92366	136214	102202	21.3533	53.8322	24.8145	151399	381681	175940	709020	784	2152	1399	2608	3346	3569	4138	1985	1011	804	824
12/06/2020	21:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	21	9.0649	100	48.5598	17.5575	-	5.2656	75.2711	19.4632	0	48.5598	0.25	680	682	765	811	9.5	152	16	9.0397	1.9339	15940876072	1763.423	330153528	170.718	0.0008	2.0225	0.0602	2.0827	0	8.1926	156974	1916052	10.1089	40768	403289	-97.3927	17.9098	0.554	126286	143361	133652	3.1408	34.077	62.7822	43474	471679	869005	1384158	937	944	1120	1981	2753	3848	5288	3774	1007	771	1795
13/06/2020	21:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	15	7.0992	100	68.6239	29.7456	-	4.3452	84.0949	11.5599	0	68.6239	0.2188	556	650	555	723	9.9286	139	14	6.8389	2.0135	17828183720	2606.876	448090192	222.548	0.0009	2.2585	0.0893	2.3478	0	8.7136	235297	2700335	9.7914	56798	580080	-99.5032	14.8963	0.6819	181672	272779	125630	10.5733	56.3042	33.1225	241897	1288128	757777	2287802	936	1846	3108	6704	7373	6806	7732	2798	551	561	688
14/06/2020	23:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	17	6.734	100	29.4304	21.9089	-	29.0386	49.8738	21.0876	0	29.4304	0.2188	447	487	534	600	9.4286	132	14	9.3945	9.9297	9530733624	1014.506	20274009808	2041.756	0.0015	1.3153	2.5443	3.8596	0	8.1693	152436	1865968	9.9761	222200	2227329	-101.0983	12.02	1.0709	1568073	603787	55706	27.9141	61.8858	10.2001	40902	90680	14946	146528	669	970	909	1637	1798	1506	1832	932	717	628	618
15/06/2020	00:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	15	5.8879	100	33.7883	25.1937	-	37.2331	43.3574	19.4095	0	33.7883	0.2344	340	367	344	339	9.2667	139	15	8.3237	9.59	9353361896	1123.696	30221691856	3151.391	0.0025	1.3042	3.7836	5.0877	0	8.1465	208576	2560308	8.863	291621	3290315	-101.6873	12.1393	1.7705	2190983	976425	122653	26.8455	64.3706	8.7839	9786	23465	3202	36453	403	549	650	1034	1013	1104	1298	831	629	609	512
16/06/2020	19:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	19	2.8732	100	15.6458	24.9653	-	37.8907	39.2818	22.8275	0	15.6458	0.25	649	676	775	764	9.25	148	16	6.0483	8.6948	2461028008	406.898	27168690976	3124.722	0.0016	0.4817	3.4035	3.8852	0	8.6744	189288	2182155	9.8332	323538	3290258	-100.6361	14.3794	1.1464	1788846	1380974	120094	12.9891	65.3665	21.6444	51024	256774	85024	392822	847	1634	2026	3924	2267	1622	1586	1610	1436	1255	1505
17/06/2020	10:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Nagoyahigashiyama	UHN1AIC100400211	UHN1AIC101400423	NAGOYA	NNC2301000321	12	1800	ONAIR	Gold	4.40119E+12	360660	16	4.6472	100	20.3535	21.8946	-	44.3749	41.9065	13.7185	0	20.3535	0.1875	740	785	819	941	9	108	12	8.9509	9.1408	4492672384	501.922	27379481296	2995.319	0.002	0.8114	3.4341	4.2455	0	8.8224	171001	1938255	9.7934	307560	3140494	-101.5147	18.2832	1.4378	1733793	1372335	34424	11.909	33.2036	54.8874	18175	50674	83767	152616	936	1203	1317	2002	1987	2011	2197	2155	1810	1378	2889
11/06/2020	23:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Chikusakakuozan	UHN1AIC100400212	UHN1AIC101400425	NAGOYA	NNC2301000372	7	1800	ONAIR	Critical	4.40119E+12	360661	13	13.4849	100	11.5152	5.4011	-	4.7197	49.9668	45.3134	0	11.5152	0.1719	447	512	562	572	10.3636	114	11	14.321	3.7729	5485738376	383.055	83422376	22.111	0.0004	0.7048	0.0189	0.7236	0	7.78	46934	603268	11.1059	11289	101649	-94.0664	19.1646	0.3044	39336	60413	1892	1.5896	29.2957	69.1147	6922	127566	300955	435443	606	655	764	1054	1663	2154	1756	1198	1041	607	1190
12/06/2020	23:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Chikusakakuozan	UHN1AIC100400212	UHN1AIC101400425	NAGOYA	NNC2301000372	7	1800	ONAIR	Critical	4.40119E+12	360661	14	17.1174	100	13.2793	6.5063	-	4.9173	52.6607	42.422	0	13.2793	0.1875	442	483	477	561	10.5	126	12	18.3451	2.9777	8586866832	468.074	106117472	35.637	0.0005	1.1055	0.0229	1.1283	0	8.3458	76323	914505	9.8627	13796	139881	-94.7256	19.0952	0.385	54130	71627	14130	1.9251	18.2446	79.8302	13608	128963	564284	706855	593	812	691	1114	3602	3655	4182	1074	524	450	709
13/06/2020	00:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-CHIKUSA-HEIWAKOEN	Chikusakakuozan	UHN1AIC100400212	UHN1AIC101400425	NAGOYA	NNC2301000372	7	1800	ONAIR	Critical	4.40119E+12	360661	14	15.3635	100	9.3601	5.1298	-	5.3953	44.8637	49.741	0	9.3601	0.2031	426	496	555	537	10.5385	137	13	16.6029	4.8525	5019944136	302.354	144882192	29.857	0.0004	0.6685	0.0306	0.6991	0	8.5998	44065	512395	9.7827	11221	114702	-94.4714	18.9103	0.2545	77811	31361	5523	4.2301	17.7604	78.0095	3742	15711	69008	88461	570	533	578	697	2317	1318	1736	727	419	401	719
